400010010011	book
400010010021	of ~ genealogy
400010010031	of Jesus
400010010041	Christ
400010010051	son
400010010061	of David
400010010071	son
400010010081	of Abraham
400010020011	Abraham
400010020021	was ~ father
400010020031	
400010020041	Isaac
400010020051	Isaac
400010020061	and
400010020071	father
400010020081	
400010020091	Jacob
400010020101	Jacob
400010020111	and
400010020121	father
400010020131	
400010020141	Judah
400010020151	and
400010020161	the
400010020171	brothers
400010020181	of him
400010030011	Judah
400010030021	and
400010030031	father
400010030041	
400010030051	Perez
400010030061	and
400010030071	
400010030081	Zerah
400010030091	by
400010030101	
400010030111	Tamar
400010030121	Perez
400010030131	and
400010030141	father
400010030151	
400010030161	Hezron
400010030171	Hezron
400010030181	and
400010030191	father
400010030201	
400010030211	Ram
400010040011	Ram
400010040021	and
400010040031	father
400010040041	
400010040051	Amminadab
400010040061	Amminadab
400010040071	and
400010040081	father
400010040091	
400010040101	Nahshon
400010040111	Nahshon
400010040121	and
400010040131	father
400010040141	
400010040151	Salmon
400010050011	Salmon
400010050021	and
400010050031	father
400010050041	
400010050051	Boaz
400010050061	by
400010050071	
400010050081	Rahab
400010050091	Boaz
400010050101	and
400010050111	father
400010050121	
400010050131	Obed
400010050141	by
400010050151	
400010050161	Ruth
400010050171	Obed
400010050181	and
400010050191	father
400010050201	
400010050211	Jesse
400010060011	Jesse
400010060021	and
400010060031	father
400010060041	
400010060051	David
400010060061	the
400010060071	king
400010060081	David
400010060091	and
400010060101	was ~ father
400010060111	
400010060121	Solomon
400010060131	by
400010060141	wife
400010060151	the wife
400010060161	of Uriah
400010070011	Solomon
400010070021	and
400010070031	father
400010070041	
400010070051	Rehoboam
400010070061	Rehoboam
400010070071	and
400010070081	father
400010070091	
400010070101	Abijah
400010070111	Abijah
400010070121	and
400010070131	father
400010070141	
400010070151	Asa
400010080011	Asa
400010080021	and
400010080031	father
400010080041	
400010080051	Jehoshaphat
400010080061	Jehoshaphat
400010080071	and
400010080081	father
400010080091	
400010080101	Joram
400010080111	Joram
400010080121	and
400010080131	father
400010080141	
400010080151	Uzziah
400010090011	Uzziah
400010090021	and
400010090031	father
400010090041	
400010090051	Jotham
400010090061	Jotham
400010090071	and
400010090081	father
400010090091	
400010090101	Ahaz
400010090111	Ahaz
400010090121	and
400010090131	father
400010090141	
400010090151	Hezekiah
400010100011	Hezekiah
400010100021	and
400010100031	father
400010100041	
400010100051	Manasseh
400010100061	Manasseh
400010100071	and
400010100081	father
400010100091	
400010100101	Amon
400010100111	Amon
400010100121	and
400010100131	father
400010100141	
400010100151	Josiah
400010110011	Josiah
400010110021	and
400010110031	father
400010110041	
400010110051	Jeconiah
400010110061	and
400010110071	the
400010110081	brothers
400010110091	of him
400010110101	at the time
400010110111	the
400010110121	of ~ deportation
400010110131	to Babylon
400010120011	after
400010120021	and
400010120031	the
400010120041	deportation
400010120051	to Babylon
400010120061	Jeconiah
400010120071	was the father of
400010120081	
400010120091	Shealtiel
400010120101	Shealtiel
400010120111	and
400010120121	father
400010120131	
400010120141	Zerubbabel
400010130011	Zerubbabel
400010130021	and
400010130031	father
400010130041	
400010130051	Abiud
400010130061	Abiud
400010130071	and
400010130081	father
400010130091	
400010130101	Eliakim
400010130111	Eliakim
400010130121	and
400010130131	father
400010130141	
400010130151	Azor
400010140011	Azor
400010140021	and
400010140031	father
400010140041	
400010140051	Zadok
400010140061	Zadok
400010140071	and
400010140081	father
400010140091	
400010140101	Achim
400010140111	Achim
400010140121	and
400010140131	father
400010140141	
400010140151	Eliud
400010150011	Eliud
400010150021	and
400010150031	father
400010150041	
400010150051	Eleazar
400010150061	Eleazar
400010150071	and
400010150081	father
400010150091	
400010150101	Matthan
400010150111	Matthan
400010150121	and
400010150131	father
400010150141	
400010150151	Jacob
400010160011	Jacob
400010160021	and
400010160031	father
400010160041	
400010160051	Joseph
400010160061	the
400010160071	husband
400010160081	of Mary
400010160091	of
400010160101	whom
400010160111	was born
400010160121	Jesus
400010160131	the one
400010160141	who is called
400010160151	Christ
400010170011	all
400010170021	so
400010170031	the
400010170041	generations
400010170051	from
400010170061	Abraham
400010170071	to
400010170081	David
400010170091	generations
400010170101	fourteen
400010170111	and
400010170121	from
400010170131	David
400010170141	to
400010170151	the
400010170161	deportation
400010170171	to Babylon
400010170181	generations
400010170191	fourteen
400010170201	and
400010170211	from
400010170221	the
400010170231	deportation
400010170241	to Babylon
400010170251	to
400010170261	the
400010170271	Christ
400010170281	generations
400010170291	fourteen
400010180011	
400010180021	now
400010180031	of Jesus
400010180041	Christ
400010180051	the
400010180061	birth
400010180071	in this way
400010180081	was
400010180091	when ~ had been betrothed
400010180101	the
400010180111	mother
400010180121	of him
400010180131	Mary
400010180141	
400010180151	to Joseph
400010180161	before
400010180171	but
400010180181	came together
400010180191	they 
400010180201	she was found
400010180211	pregnant
400010180221	
400010180231	
400010180241	from
400010180251	Spirit
400010180261	Holy
400010190011	Joseph
400010190021	so
400010190031	the
400010190041	husband
400010190051	of her
400010190061	a righteous man
400010190071	being
400010190081	and
400010190091	not
400010190101	wanting
400010190111	to disgrace ~ her
400010190121	to disgrace
400010190131	planned
400010190141	secretly
400010190151	to divorce
400010190161	her
400010200011	on these things
400010200021	but
400010200031	he
400010200041	after ~ had considered
400010200051	behold
400010200061	an angel
400010200071	of ~ Lord
400010200081	in
400010200091	a dream
400010200101	appeared
400010200111	to him
400010200121	saying
400010200131	Joseph
400010200141	son
400010200151	of David
400010200161	not
400010200171	do ~ be afraid
400010200181	to take
400010200191	Mary
400010200201	the
400010200211	wife
400010200221	of you
400010200231	the child
400010200241	for
400010200251	in
400010200261	her
400010200271	what has been conceived
400010200281	from
400010200291	Spirit
400010200301	is
400010200311	Holy
400010210011	she will bear
400010210021	and
400010210031	a son
400010210041	and
400010210051	you shall call
400010210061	the
400010210071	name
400010210081	of him
400010210091	Jesus
400010210101	for ~ he
400010210111	for
400010210121	will save
400010210131	the
400010210141	people
400010210151	of him
400010210161	from
400010210171	the
400010210181	sins
400010210191	of them
400010220011	now ~ this
400010220021	now
400010220031	all
400010220041	took place
400010220051	to
400010220061	fulfill
400010220071	the thing
400010220081	what was spoken
400010220091	by
400010220101	Lord
400010220111	through
400010220121	the
400010220131	prophet
400010220141	saying
400010230011	behold
400010230021	the
400010230031	virgin
400010230041	will be pregnant
400010230051	
400010230061	
400010230071	and
400010230081	bear
400010230091	a son
400010230101	and
400010230111	they shall call
400010230121	the
400010230131	name
400010230141	of him
400010230151	Immanuel
400010230161	which
400010230171	is
400010230181	translated
400010230191	with
400010230201	us
400010230211	
400010230221	God
400010240011	when ~ woke up
400010240021	and
400010240031	
400010240041	Joseph
400010240051	from
400010240061	
400010240071	sleep
400010240081	he did
400010240091	as
400010240101	commanded
400010240111	him
400010240121	the
400010240131	angel
400010240141	of ~ Lord
400010240151	and
400010240161	took
400010240171	the
400010240181	wife
400010240191	of him
400010250011	but
400010250021	not
400010250031	did ~ have sexual relations with
400010250041	her
400010250051	until
400010250061	
400010250071	she gave birth to
400010250081	a son
400010250091	and
400010250101	he called
400010250111	the
400010250121	name
400010250131	of him
400010250141	Jesus
400020010011	
400020010021	now
400020010031	Jesus
400020010041	after ~ was born
400020010051	in
400020010061	Bethlehem
400020010071	
400020010081	of Judea
400020010091	in
400020010101	days
400020010111	of Herod
400020010121	the
400020010131	king
400020010141	behold
400020010151	wise men
400020010161	from
400020010171	east
400020010181	came
400020010191	to
400020010201	Jerusalem
400020020011	saying
400020020021	where
400020020031	is
400020020041	he
400020020051	who has been born
400020020061	king
400020020071	the
400020020081	of ~ jews
400020020091	we saw
400020020101	for
400020020111	his
400020020121	
400020020131	star
400020020141	at
400020020151	the
400020020161	rising
400020020171	and
400020020181	have come
400020020191	to worship
400020020201	him
400020030011	when ~ heard
400020030021	and
400020030031	the
400020030041	king
400020030051	Herod
400020030061	he was troubled
400020030071	and
400020030081	all
400020030091	Jerusalem
400020030101	with
400020030111	him
400020040011	and
400020040021	calling together
400020040031	all
400020040041	the
400020040051	chief priests
400020040061	and
400020040071	scribes
400020040081	the
400020040091	of ~ people
400020040101	he inquired
400020040111	of
400020040121	them
400020040131	where
400020040141	the
400020040151	Christ
400020040161	was to be born
400020050011	they
400020050021	so
400020050031	told
400020050041	to him
400020050051	in
400020050061	Bethlehem
400020050071	
400020050081	of Judea
400020050091	this is what
400020050101	for
400020050111	it is written
400020050121	by
400020050131	the
400020050141	prophet
400020060011	and
400020060021	you
400020060031	Bethlehem
400020060041	land
400020060051	of Judah
400020060061	by no means
400020060071	least
400020060081	are
400020060091	among
400020060101	the
400020060111	rulers
400020060121	of Judah
400020060131	out of
400020060141	you
400020060151	for
400020060161	shall come
400020060171	a ruler
400020060181	who
400020060191	will shepherd
400020060201	the
400020060211	people
400020060221	of me
400020060231	
400020060241	Israel
400020070011	then
400020070021	Herod
400020070031	secretly
400020070041	summoned
400020070051	the
400020070061	wise men
400020070071	determined
400020070081	from
400020070091	them
400020070101	the
400020070111	time
400020070121	the
400020070131	appeared
400020070141	star
400020080011	and
400020080021	sent
400020080031	them
400020080041	to
400020080051	Bethlehem
400020080061	he ~ said
400020080071	go
400020080081	search
400020080091	carefully
400020080101	for
400020080111	the
400020080121	child
400020080131	when
400020080141	and
400020080151	you have found
400020080161	report
400020080171	to me
400020080181	so that
400020080191	I also
400020080201	may come
400020080211	worship
400020080221	him
400020090011	they
400020090021	after
400020090031	after hearing
400020090041	the
400020090051	king
400020090061	went on their way
400020090071	and
400020090081	behold
400020090091	the
400020090101	star
400020090111	which
400020090121	they had seen
400020090131	at
400020090141	the
400020090151	rising
400020090161	went before
400020090171	them
400020090181	until
400020090191	came
400020090201	it ~ stood
400020090211	over
400020090221	where
400020090231	was
400020090241	the
400020090251	child
400020100011	when ~ saw
400020100021	now
400020100031	the
400020100041	star
